date,hv_20d,hv_park,atm_iv,vrp_ratio,ver,vov,signal_vrp,signal_regime,signal_vov,combined_score,entry_signal
2025-04-23,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-04-24,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-04-25,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-04-28,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-04-29,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-04-30,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-02,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-05,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-06,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-07,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-08,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-09,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-12,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-13,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-14,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-15,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-16,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-19,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-20,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-21,,,,,,,NEUTRAL,NORMAL,STABLE,0,False
2025-05-22,18.1928,11.9619,21.8314,1.2,0.6575,,NEUTRAL,TRENDING,STABLE,1,True
2025-05-23,18.4156,12.4745,14.7974,0.8035,0.6774,,NEUTRAL,TRENDING,STABLE,1,True
2025-05-26,18.1071,12.264,21.7062,1.1988,0.6773,,NEUTRAL,TRENDING,STABLE,1,True
2025-05-27,17.9704,11.8724,26.0929,1.452,0.6607,,SELL,TRENDING,STABLE,2,True
2025-05-28,18.0252,12.0842,20.8911,1.159,0.6704,,NEUTRAL,TRENDING,STABLE,1,True
2025-05-29,18.0416,12.3383,3.8125,0.2113,0.6839,,BUY,TRENDING,STABLE,1,True
2025-05-30,18.1077,12.563,14.9806,0.8273,0.6938,,NEUTRAL,TRENDING,STABLE,1,True
2025-06-02,18.0639,12.3002,22.919,1.2688,0.6809,,SELL,TRENDING,STABLE,2,True
2025-06-03,18.2174,12.5962,18.816,1.0329,0.6914,,NEUTRAL,TRENDING,STABLE,1,True
2025-06-04,18.2416,12.7338,13.0989,0.7181,0.6981,,BUY,TRENDING,STABLE,1,True
2025-06-05,18.166,12.6957,21.7992,1.2,0.6989,,NEUTRAL,TRENDING,STABLE,1,True
2025-06-06,17.8641,12.6263,11.8436,0.663,0.7068,,BUY,TRENDING,STABLE,1,True
2025-06-09,12.0669,9.9693,13.7762,1.1417,0.8262,,NEUTRAL,NORMAL,STABLE,1,True
2025-06-10,10.8168,8.8619,11.0944,1.0257,0.8193,,NEUTRAL,NORMAL,STABLE,1,True
2025-06-11,10.777,8.6938,14.4227,1.3383,0.8067,,SELL,NORMAL,STABLE,2,True
2025-06-12,9.9152,8.2357,1.8532,0.1869,0.8306,,BUY,NORMAL,STABLE,1,True
2025-06-13,10.1726,8.6443,12.2484,1.2041,0.8498,,NEUTRAL,NORMAL,STABLE,1,True
2025-06-16,10.6982,9.1366,14.5615,1.3611,0.854,,SELL,NORMAL,STABLE,2,True
2025-06-17,10.0628,8.5967,13.6016,1.3517,0.8543,,SELL,NORMAL,STABLE,2,True
2025-06-18,9.9149,8.3134,14.1505,1.4272,0.8385,382.8824,SELL,NORMAL,UNSTABLE,1,True
2025-06-19,9.4339,7.7191,0.717,0.076,0.8182,395.4342,BUY,NORMAL,UNSTABLE,0,False
2025-06-20,9.874,7.953,10.6377,1.0773,0.8055,398.7807,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-06-23,9.8843,7.9271,13.3356,1.3492,0.802,399.058,SELL,NORMAL,UNSTABLE,1,True
2025-06-24,9.5799,7.5996,14.531,1.5168,0.7933,397.1814,SELL,TRENDING,UNSTABLE,1,True
2025-06-25,9.8469,7.9961,12.9097,1.311,0.812,389.0319,SELL,NORMAL,UNSTABLE,1,True
2025-06-26,10.5734,8.6872,0.2918,0.0276,0.8216,373.4961,BUY,NORMAL,UNSTABLE,0,False
2025-06-27,10.4421,8.6972,9.8781,0.946,0.8329,352.9167,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-06-30,10.6409,8.9624,12.0344,1.131,0.8423,326.3759,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-07-01,10.1439,8.4783,11.8858,1.1717,0.8358,291.6837,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-07-02,10.3143,8.5026,11.9678,1.1603,0.8244,244.6956,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-07-03,10.2942,8.2325,12.3531,1.2,0.7997,178.8083,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-04,9.7628,7.6018,8.8255,0.904,0.7787,58.3356,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-07,9.6978,7.2855,10.9871,1.133,0.7512,41.295,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-08,9.7124,7.4727,9.5099,0.9791,0.7694,39.1275,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-09,9.7535,7.4998,13.7855,1.4134,0.7689,36.2138,SELL,TRENDING,UNSTABLE,1,True
2025-07-10,9.1328,7.0738,10.9594,1.2,0.7745,41.4354,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-11,9.2893,7.1766,8.4887,0.9138,0.7726,44.0856,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-14,8.8242,6.6617,11.6066,1.3153,0.7549,47.2087,SELL,TRENDING,UNSTABLE,1,True
2025-07-15,8.8131,6.7232,9.4975,1.0777,0.7629,52.3577,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-16,8.7695,6.6423,8.3689,0.9543,0.7574,57.0484,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-17,8.9199,6.8994,10.7039,1.2,0.7735,59.5965,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-18,7.9407,6.3377,8.1559,1.0271,0.7981,71.3709,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-21,7.8814,6.2802,9.9719,1.2652,0.7968,80.843,SELL,TRENDING,UNSTABLE,1,True
2025-07-22,7.8318,6.1446,8.1297,1.038,0.7846,89.1465,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-23,7.6298,6.014,6.9014,0.9045,0.7882,97.1088,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-07-24,6.4773,5.5613,7.7728,1.2,0.8586,111.3908,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-07-25,6.8507,6.002,8.9009,1.2993,0.8761,117.6208,SELL,NORMAL,UNSTABLE,1,True
2025-07-28,6.9689,6.1277,12.2324,1.7553,0.8793,118.233,SELL,NORMAL,UNSTABLE,1,True
2025-07-29,7.3909,6.5004,8.4457,1.1427,0.8795,117.177,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-07-30,7.4134,6.3337,10.4017,1.4031,0.8544,112.8819,SELL,NORMAL,UNSTABLE,1,True
2025-07-31,7.4552,6.4609,8.9463,1.2,0.8666,106.3669,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-08-01,7.7265,6.9403,10.102,1.3075,0.8982,101.5232,SELL,NORMAL,UNSTABLE,1,True
2025-08-04,8.2382,7.4463,11.0716,1.3439,0.9039,95.4345,SELL,NORMAL,UNSTABLE,1,True
2025-08-05,8.123,7.4911,11.8129,1.4543,0.9222,88.082,SELL,NORMAL,UNSTABLE,1,True
2025-08-06,8.1366,7.5897,10.932,1.3436,0.9328,78.758,SELL,NORMAL,UNSTABLE,1,True
2025-08-07,8.1117,7.2831,1.5058,0.1856,0.8979,74.1382,BUY,NORMAL,UNSTABLE,0,False
2025-08-08,8.2738,7.3925,9.0106,1.089,0.8935,67.5972,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-08-11,9.0786,7.8982,11.6565,1.2839,0.87,69.6579,SELL,NORMAL,UNSTABLE,1,True
2025-08-12,8.8929,7.8557,11.3861,1.2804,0.8834,70.2282,SELL,NORMAL,UNSTABLE,1,True
2025-08-13,9.1924,8.2311,9.5368,1.0375,0.8954,73.5257,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-08-14,9.1483,7.9523,2.7561,0.3013,0.8693,75.3056,BUY,NORMAL,UNSTABLE,0,False
2025-08-18,9.7369,8.2865,12.7638,1.3109,0.851,85.3758,SELL,NORMAL,UNSTABLE,1,True
2025-08-19,9.6901,8.2288,10.9491,1.1299,0.8492,92.9822,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-08-20,9.7402,8.3563,9.8327,1.0095,0.8579,99.4542,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-08-21,9.4661,7.9594,2.4052,0.2541,0.8408,102.2172,BUY,NORMAL,UNSTABLE,0,False
2025-08-22,9.6896,8.1402,7.108,0.7336,0.8401,97.0861,BUY,NORMAL,UNSTABLE,0,False
2025-08-25,9.2379,7.7351,6.8879,0.7456,0.8373,90.6399,BUY,NORMAL,UNSTABLE,0,False
2025-08-26,9.7104,8.0517,7.8929,0.8128,0.8292,85.488,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-08-28,9.9346,8.2832,11.9215,1.2,0.8338,83.5315,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-08-29,9.9387,8.415,8.8199,0.8874,0.8467,79.6732,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-01,10.3731,8.7791,12.2704,1.1829,0.8463,77.0296,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-02,9.9645,8.2725,3.4882,0.3501,0.8302,71.7662,BUY,NORMAL,UNSTABLE,0,False
2025-09-03,9.8938,8.2018,7.0658,0.7142,0.829,69.1784,BUY,NORMAL,UNSTABLE,0,False
2025-09-04,9.8349,8.0282,8.3082,0.8448,0.8163,64.031,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-05,9.7604,7.8067,7.7233,0.7913,0.7998,57.0521,BUY,TRENDING,UNSTABLE,0,False
2025-09-08,9.7645,7.8389,9.1336,0.9354,0.8028,47.2674,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-09,9.1024,7.3891,10.9229,1.2,0.8118,38.0839,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-10,8.6871,7.0028,6.6657,0.7673,0.8061,41.7732,BUY,NORMAL,UNSTABLE,0,False
2025-09-11,8.5034,6.7898,6.837,0.804,0.7985,45.8898,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-09-12,8.4407,6.7069,5.398,0.6395,0.7946,51.8259,BUY,TRENDING,UNSTABLE,0,False
2025-09-15,8.4972,6.8101,7.7985,0.9178,0.8015,56.2149,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-16,8.1158,6.5586,2.2304,0.2748,0.8081,63.7731,BUY,NORMAL,UNSTABLE,0,False
2025-09-17,8.087,6.5145,7.8938,0.9761,0.8056,69.9404,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-18,8.1234,6.5847,4.9485,0.6092,0.8106,74.2471,BUY,NORMAL,UNSTABLE,0,False
2025-09-19,8.277,6.7816,6.7916,0.8205,0.8193,77.1816,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-22,7.8412,6.4944,9.6692,1.2331,0.8282,81.893,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-23,7.7725,6.2869,9.327,1.2,0.8089,87.0299,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-24,6.9412,5.8257,7.0625,1.0175,0.8393,97.1001,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-25,6.6255,5.6724,8.0157,1.2098,0.8561,106.1802,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-26,7.471,6.1887,7.7411,1.0361,0.8284,105.6976,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-09-29,6.9145,5.6111,12.9651,1.875,0.8115,103.4974,SELL,NORMAL,UNSTABLE,1,True
2025-09-30,6.89,5.5412,8.268,1.2,0.8042,102.3464,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-01,7.3704,5.828,6.938,0.9413,0.7907,96.7699,NEUTRAL,TRENDING,UNSTABLE,0,False
2025-10-03,7.4058,5.9511,5.9964,0.8097,0.8036,89.4936,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-06,7.8132,6.5122,10.6338,1.361,0.8335,79.7318,SELL,NORMAL,UNSTABLE,1,True
2025-10-07,7.8125,6.5061,9.375,1.2,0.8328,67.0621,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-08,7.7942,6.3976,6.7946,0.8718,0.8208,60.0597,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-09,7.8844,6.4935,7.0164,0.8899,0.8236,56.1582,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-10,7.9882,6.7163,6.9538,0.8705,0.8408,53.5402,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-13,7.9191,6.5549,12.3997,1.5658,0.8277,50.9675,SELL,NORMAL,UNSTABLE,1,True
2025-10-14,7.9852,6.6711,0.6258,0.0784,0.8354,47.8207,BUY,NORMAL,UNSTABLE,0,False
2025-10-15,8.0189,6.6951,7.2515,0.9043,0.8349,47.3727,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-16,8.7185,7.2251,8.3383,0.9564,0.8287,52.309,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-17,8.7852,7.3186,7.387,0.8408,0.8331,57.1424,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-20,8.7715,7.4271,1.3028,0.1485,0.8467,60.6789,BUY,NORMAL,UNSTABLE,0,False
2025-10-21,8.4865,7.1134,7.7806,0.9168,0.8382,62.9402,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-23,8.4327,7.0798,9.1949,1.0904,0.8396,64.67,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-24,8.3663,7.0196,8.0413,0.9612,0.839,62.5076,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-10-27,7.9778,7.016,11.8944,1.4909,0.8794,55.1925,SELL,NORMAL,UNSTABLE,1,True
2025-10-28,6.8265,6.3506,2.793,0.4091,0.9303,59.7687,BUY,NORMAL,UNSTABLE,0,False
2025-10-29,6.7426,6.6462,9.9064,1.4692,0.9857,61.3746,SELL,NORMAL,UNSTABLE,1,True
2025-10-30,7.4519,7.1077,10.0877,1.3537,0.9538,57.6858,SELL,NORMAL,UNSTABLE,1,True
2025-10-31,7.6105,6.8638,7.9822,1.0488,0.9019,56.7067,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-11-03,7.6076,6.806,11.4542,1.5056,0.8946,55.8807,SELL,NORMAL,UNSTABLE,1,True
2025-11-04,7.8274,6.7356,0.556,0.071,0.8605,55.8634,BUY,NORMAL,UNSTABLE,0,False
2025-11-06,7.9854,6.9118,7.6418,0.957,0.8656,55.7725,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-11-07,7.9129,6.7693,7.8932,0.9975,0.8555,55.6509,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-11-10,7.7842,6.5956,9.6797,1.2435,0.8473,55.7721,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-11-11,7.8212,6.6433,1.2088,0.1546,0.8494,55.8526,BUY,NORMAL,UNSTABLE,0,False
2025-11-12,8.0272,7.0177,9.9113,1.2347,0.8742,55.8718,NEUTRAL,NORMAL,UNSTABLE,0,False
2025-11-13,7.8629,6.77,11.0327,1.4031,0.861,55.9063,SELL,NORMAL,UNSTABLE,1,True
2025-11-14,7.5775,6.3047,8.1663,1.0777,0.832,56.4917,NEUTRAL,NORMAL,UNSTABLE,0,False
